Revealed,ID,Rarity,Character Name,Character Version,Chakra,Power,Keyword,Group,Effects Type,Effects Timing,Effect,Set,Image
TRUE,KS-077-C,C,Kankuro,Chakra Threads,3,3,Team Baki,Sand Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If there's at least one non-hidden enemy character in this mission, **CHAKRA +1**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/77_C_Kankurou_Chakra_Threads-1920w.webp
TRUE,KS-078-UC,UC,Kankuro,Puppet Master Jutsu,4,4,"Team Baki, Jutsu",Sand Village,"AMBUSH, UPGRADE",↯ On play,"**AMBUSH** [↯] Move any character with Power 4 or less.

**UPGRADE** [↯] Play a friendly character while hidden, paying 1 less.",Konoha Shidō,http://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/78_UC_Kankurou_Puppet_Master_Jutsu-1920w.webp
TRUE,KS-079-C,C,Temari,Kunoichi,2,2,Team Baki,Sand Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If you have the Edge, this character has +2 Power.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/79_C_Temari_Kunoichi-1920w.webp
TRUE,KS-080-UC,UC,Temari,Cyclone Scythe Jutsu,4,4,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Move another friendly *Sand Village* character.

**UPGRADE** [↯] Move this character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/80_UC_Temari_Sandstorm-1920w.webp
TRUE,KS-081-C,C,Baki,Council Agent,3,2,Team Baki,Sand Village,SCORE,↯ On play,**SCORE** [↯] Draw a card.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/81_C_Baki_Council_Agent-1920w.webp
TRUE,KS-082-UC,UC,Baki,Wind Sword,4,4,Team Baki,Sand Village,"SCORE, UPGRADE",↯ On play,"**SCORE** [↯] Defeat a hidden character in play.

**UPGRADE** [↯] Defeat an enemy character with Power 1 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/82_UC_Baki_Wind_Sword-1920w.webp
TRUE,KS-083-UC,UC,Rasa,Fourth Kazekage,3,3,,Sand Village,SCORE,↯ On play,**SCORE** [↯] Gain 1 Mission point if there's another friendly *Sand Village* character in this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/83_UC_Rasa_Kazekage-1920w.webp
TRUE,KS-084-C,C,Yashamaru,Gaara's Caretaker,1,1,,Sand Village,MAIN,⧗ Continuous,**MAIN** [⧗] This character has +2 Power if there's a friendly *Gaara* in this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/84_C_Yashamaru_Careteaker-1920w.webp
TRUE,KS-085-UC,UC,Yashamaru,Sacrificial Mission,4,4,Jutsu,Sand Village,SCORE,↯ On play,"**SCORE** [↯] Defeat this character. If you do, defeat another character in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/85_UC_Yashamaru_Sacrificial-1920w.webp
TRUE,KS-086-C,C,Zabuza Momochi,Kubikiribōchō,3,5,Rogue Ninja,Independent,,,,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/86_C_Zabuza_Kubikiribocho-1920w.webp
TRUE,KS-087-UC,UC,Zabuza Momochi,Water Prison Jutsu,5,5,"Rogue Ninja, Jutsu",Independent,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] If there's only one non-hidden enemy character in this mission, hide them.

**UPGRADE** MAIN effect: Instead, defeat them.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/87_UC_Zabuza_Water_Prison-1920w.webp
TRUE,KS-088-C,C,Haku,Orphan from the Land of Water,2,2,Rogue Ninja,Independent,MAIN,↯ On play,"**MAIN** [↯] Draw 1 card. If you do, you must put 1 card from your hand on top of your deck.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/88_C_Haku_Orphan-1920w.webp
TRUE,KS-089-UC,UC,Haku,Crystal Ice Mirrors,4,2,"Rogue Ninja, Jutsu",Independent,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard the top card of your opponent's deck. **POWERUP X** where X is the cost of the discarded card.

**UPGRADE** MAIN effect: Instead, discard the top card from your deck.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/89_UC_Haku_Crystal_Ice_Mirrors-1920w.webp
TRUE,KS-090-C,C,Itachi Uchiha,Akatsuki Investigator,3,3,Rogue Ninja,Akatsuki,MAIN,⧗ Continuous,"**MAIN** [⧗] If there is a **Sasuke Uchiha** in this mission, you can play this character while hidden paying 3 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/90_C_Itachi_Akatsuki-1920w.webp
TRUE,KS-091-UC,UC,Itachi Uchiha,Mangekyō Sharingan,5,5,"Rogue Ninja, Kekkei Genkai",Akatsuki,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Look at the opponent's hand.

**UPGRADE** MAIN effect: In addition, choose 1 card in the opponent’s hand and discard it",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/91_UC_Itachi_Sharingan-1920w.webp
TRUE,KS-092-C,C,Kisame Hoshigaki,Rogue Ninja of the Hidden Mist,3,4,Rogue Ninja,Akatsuki,AMBUSH,↯ On play,**AMBUSH** [↯] Remove up to 2 Power tokens from an enemy character in this mission and put them on this character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/92_C_Kisame_Rogue_Ninja-1920w.webp
TRUE,KS-093-UC,UC,Kisame Hoshigaki,Samehada,6,6,"Rogue Ninja, Weapon",Akatsuki,MAIN,↯ On play,"**MAIN** [↯] Remove up to 2 Power tokens from an enemy character in play and put them on this character.

**UPGRADE** MAIN effect: Instead, remove all Power tokens and put them on this character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/93_UC_Kisame_Samehada-1920w.webp
TRUE,KS-094-C,C,Gamabunta,Chief Toad,3,6,Summon,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/94_C_Gamabunta_Chief_Toad-1920w.webp
TRUE,KS-095-C,C,Gamahiro,Armed Toad,4,6,Summon,Independent,MAIN,"↯ On play, ⧗ Continuous","**MAIN** [↯] If there's a friendly character in this mission, draw a card.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/95_C_Gamahiro_Armed_Toad-1920w.webp
TRUE,KS-096-C,C,Gamakichi,Eldest Son of Gamabunta,2,3,Summon,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] Pay 1 less to play this character if there's a friendly **Naruto Uzumaki** in this mission.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/96_C_Gamakichi_Eldest_Son-1920w.webp
TRUE,KS-097-C,C,Gamatatsu,Youngest Son of Gamabunta,1,2,Summon,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/97_C_Gamatatsu_Youngest_Son-1920w.webp
TRUE,KS-098-C,C,Katsuyu,Giant Slug,3,5,Summon,Independent,MAIN,"↯ On play, ⧗ Continuous","**MAIN** [↯] If there is a friendly Tsunade in play, **POWERUP 2**.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/98_C_Katsuyu_Giant_Slug-1920w.webp
TRUE,KS-099-C,C,Pakkun,Kakashi's Ninja Hound,1,1,Ninja Hound,Independent,SCORE,↯ On play,**SCORE** [↯] Move this character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/99_C_Pakkun_Hound-1920w.webp
TRUE,KS-100-C,C,Ninja Hound Corps,Kakashi's Ninja Hounds,1,1,Ninja Hound,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] When this character moves to a different mission, look at a hidden character in that mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/100_C_Ninja_Hound-1920w.webp
TRUE,KS-101-C,C,TonTon,Tsunade's Ninja Pig,0,0,Ninja Pig,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] If there's a friendly *Tsunade* or *Shizune* in this mission, this character has +1 Power.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/101_C_TonTon_Pig-1920w.webp
TRUE,KS-102-UC,UC,Manda,Summoned by Orochimaru,3,5,Summon,Independent,"AMBUSH, MAIN","↯ On play, ⧗ Continuous","**AMBUSH** [↯] Defeat an enemy *Summon* character in this mission.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/102_UC_Manda_Summoned-1920w.webp
TRUE,KS-103-UC,UC,Kyodaigumo,Rain of Spiders,4,4,Summon,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] At the end of the round, hide a character with Power equal or less than this character. Then, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/103_UC_Giant_Spider_Rain-1920w.webp
TRUE,KS-104-MV,MV,Tsunade,Legendary Sannin,5,6,"Sannin, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Spend any amount of additional Chakra. **POWERUP X**, where X is the amount of additional Chakra spent.

**UPGRADE** [↯] **POWERUP X**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/104_R_ART_Tsunade_Chakra_Enhanced-1920w.webp
TRUE,KS-104-R,R,Tsunade,Legendary Sannin,5,6,Sannin,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Spend any amount of additional Chakra. **POWERUP X**, where X is the amount of additional Chakra spent.

**UPGRADE** [↯] **POWERUP X**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/104_R_Tsunade_Hokage-1920w.webp
TRUE,KS-104-RART,RA,Tsunade,I'm the Fith Hokage of the Leaf Village!,5,6,Sannin,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Spend any amount of additional Chakra. **POWERUP X**, where X is the amount of additional Chakra spent.

**UPGRADE** [↯] **POWERUP X**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/104_R_ART_Tsunade_Chakra_Enhanced-1920w.webp
TRUE,KS-105-R,R,Jiraiya,Summoning Jutsu,6,6,"Sannin, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Play a *Summon* character anywhere, paying 3 less.

**UPGRADE** [↯] Move any enemy character from this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/105_R_Jiraiya_Summoning_Jutsu-1920w.webp
TRUE,KS-105-RART,RA,Jiraiya,Hermit of Mount Myoboku,6,6,"Sannin, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Play a *Summon* character anywhere, paying 3 less.

**UPGRADE** [↯] Move any enemy character from this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/105_R_ART_Jiraiya_Mud_Wall-1920w.webp
TRUE,KS-106-R,R,Kakashi Hatake,Curse Sealing,5,5,"Team 7, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard the top card of an upgraded enemy character in play.

**UPGRADE** MAIN effect: Copy any non-Upgrade instant effect (↯) from the discarded enemy character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/106_R_Kakashi_Curse_Sealing-1920w.webp
TRUE,KS-106-RART,RA,Kakashi Hatake,The Copy Ninja,5,5,"Team 7, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard the top card of an upgraded enemy character in play.

**UPGRADE** MAIN effect: Copy any non-Upgrade instant effect (↯) from the discarded enemy character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/106_R_ART_Kakashi_Curse_Sealing-1920w.webp
TRUE,KS-107-R,R,Sasuke Uchiha,Chidori,5,6,"Team 7, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] You must move all other non-hidden friendly characters from this mission, if able.

**UPGRADE** [↯] **POWERUP X** where X is the number of the characters moved this way.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/107_R_Sasuke_Chidori-1920w.webp
TRUE,KS-107-RART,RA,Sasuke Uchiha,The last Uchiha,5,6,"Team 7, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] You must move all other non-hidden friendly characters from this mission, if able.

**UPGRADE** [↯] **POWERUP X** where X is the number of the characters moved this way.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/107_R_ART_Sasuke_Chidori-1920w.webp
TRUE,KS-108-MV,MV,Naruto Uzumaki,I won’t run away!,4,5,"Team 7, Jutsu",Leaf Village,"MAIN, AMBUSH",↯ On play,"**MAIN**  [↯] Hide an enemy character with Power 3 or less in this mission.

**UPGRADE** MAIN effect: **POWERUP X** where X is the Power of the enemy character that is being hidden.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/108_M_Naruto-1920w.webp
TRUE,KS-108-R,R,Naruto Uzumaki,Shadow Clone Jutsu,5,5,"Team 7, Jutsu",Leaf Village,"MAIN, AMBUSH",↯ On play,"**MAIN**  [↯] Hide an enemy character with Power 3 or less in this mission.

**UPGRADE** MAIN effect: **POWERUP X** where X is the Power of the enemy character that is being hidden.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/108_R_Naruto_Rasengan-1920w.webp
TRUE,KS-108-RART,RA,Naruto Uzumaki,Believe it!,5,5,"Team 7, Jutsu",Leaf Village,"MAIN, AMBUSH",↯ On play,"**MAIN**  [↯] Hide an enemy character with Power 3 or less in this mission.

**UPGRADE** MAIN effect: **POWERUP X** where X is the Power of the enemy character that is being hidden.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/108_R_ART_Naruto_Shadow_Clone-1920w.webp
TRUE,KS-109-R,R,Sakura Haruno,Medical Ninja,4,3,Team 7,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Choose one of your *Leaf Village* characters in your discard pile and play it anywhere, paying its cost.

**UPGRADE** MAIN effect: Instead, play the card paying 2 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/109_R_Sakura_Medical-1920w.webp
TRUE,KS-109-RART,RA,Sakura Haruno,Now it's my turn to take the lead.,4,3,Team 7,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Choose one of your *Leaf Village* characters in your discard pile and play it anywhere, paying its cost.

**UPGRADE** MAIN effect: Instead, play the card paying 2 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/109_R_ART_Sakura_Medical-1920w.webp
TRUE,KS-110-R,R,Ino Yamanaka,Mind Destruction Jutsu,5,4,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] If there are 2 or more enemy characters in this mission, move the weakest non-hidden enemy character.

**UPGRADE** MAIN effect: After moving them, hide the enemy character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/110_R_Ino_Mind_Destruction-1920w.webp
TRUE,KS-110-RART,RA,Ino Yamanaka,Mind Transfer Jutsu,5,4,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] If there are 2 or more enemy characters in this mission, move the weakest non-hidden enemy character.

**UPGRADE** MAIN effect: After moving them, hide the enemy character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/110_R_ART_Ino_Mind_Destruction-1920w.webp
TRUE,KS-111-M,MV,Shikamaru Nara,Shadow Strangle Jutsu,6,5,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] The opponent cannot play characters while hidden in this mission.

**UPGRADE** [↯] Hide an enemy character with Power 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/111_M_Shikamaru-1920w.webp
TRUE,KS-111-R,R,Shikamaru Nara,Shadow Strangle Jutsu,6,5,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] The opponent cannot play characters while hidden in this mission.

**UPGRADE** [↯] Hide an enemy character with Power 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/111_R_Shikamaru_Shadow_Strangle-1920w.webp
TRUE,KS-111-RART,RA,Shikamaru Nara,This whole thing's a drag...,6,5,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] The opponent cannot play characters while hidden in this mission.

**UPGRADE** [↯] Hide an enemy character with Power 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/111_R_ART_Shikamaru_Shadow_Strangle-1920w.webp
TRUE,KS-112-R,R,Choji Akimichi,Chili Pepper Pill,5,4,Team 10,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard a card from your hand. **POWERUP X** where X is the cost of the discarded card in this way.

**UPGRADE** [↯] Repeat the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/112_R_Choji_Chili_Pepper-1920w.webp
TRUE,KS-112-RART,RA,Choji Akimichi,Who you calling fat?,5,4,Team 10,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard a card from your hand. **POWERUP X** where X is the cost of the discarded card in this way.

**UPGRADE** [↯] Repeat the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/112_R_ART_Choji_Butterfly-1920w.webp
TRUE,KS-113-MV,MV,Kiba Inuzuka,Fang Over Fang,6,6,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Hide a friendly *Akamaru* character. If you do, hide another character in this mission.

**UPGRADE** MAIN effect: Instead, defeat both of them.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/113_M_Kiba-1920w.webp
TRUE,KS-113-R,R,Kiba Inuzuka,Fang Over Fang,6,6,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Hide a friendly *Akamaru* character. If you do, hide another character in this mission.

**UPGRADE** MAIN effect: Instead, defeat both of them.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/113_R_Kiba_Fang_Over_Fang-1920w.webp
TRUE,KS-113-RART,RA,Kiba Inuzuka,Stay with me Akamaru,6,6,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Hide a friendly *Akamaru* character. If you do, hide another character in this mission.

**UPGRADE** MAIN effect: Instead, defeat both of them.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/113_R_ART_Kiba_Fang_Over_Fang-1920w.webp
TRUE,KS-114-R,R,Hinata Hyuga,Protective Eight Trigrams Sixty-Four Palms,5,5,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] **POWERUP 2**. **POWERUP 1** another character

**UPGRADE** [↯] Remove all Power tokens from an enemy character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/114_R_Hinata_Sixty-Four_Palms-1920w.webp
TRUE,KS-114-RART,RA,Hinata Hyuga,No more hiding!,5,5,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] **POWERUP 2**. **POWERUP 1** another character

**UPGRADE** [↯] Remove all Power tokens from an enemy character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/114_R_ART_Hinata_Sixty-Four_Palms-1920w.webp
TRUE,KS-115-R,R,Shino Aburame,Wall of Insects Jutsu,5,6,"Team 8, Jutsu",Leaf Village,"MAIN, AMBUSH","⧗ Continuous, ↯ On play","**MAIN** [⧗] Friendly characters in this mission can't be hidden by enemy effects.

**AMBUSH **[↯] Move one friendly character in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/115_R_Shino_Wall_Insects-1920w.webp
TRUE,KS-115-RART,RA,Shino Aburame,I am a member of the Hidden Leaf Village’s Aburame clan.,5,6,"Team 8, Jutsu",Leaf Village,"MAIN, AMBUSH","⧗ Continuous, ↯ On play","**MAIN** [⧗] Friendly characters in this mission can't be hidden by enemy effects.

**AMBUSH **[↯] Move one friendly character in this mission.",Konoha Shidō,https://irp.cdn-website.com/99e556bf/dms3rep/multi/115_R_ART_Shino_Wall_Insects.webp
TRUE,KS-116-R,R,Neji Hyuga,Eight Trigrams Sixty-Four Palms,6,5,"Team Guy, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat a character in this mission with exactly Power 4 in this mission.

**UPGRADE** [↯] Defeat a character with exactly Power 6 in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/116_R_Neji_Sixty-Four_Palms-1920w.webp
TRUE,KS-116-RART,RA,Neji Hyuga,Eight Trigrams Sixty-Four Palms,6,5,"Team Guy, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat a character in this mission with exactly Power 4 in this mission.

**UPGRADE** [↯] Defeat a character with exactly Power 6 in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/116_R_ART_Neji_Sixty-FouR_Palms-1920w.webp
TRUE,KS-117-MV,MV,Rock Lee,Loopy Fist,5,5,"Team Guy, Taijutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] At the end of the round, you must move this character to another mission, if able.

**UPGRADE** [↯] Reveal and discard the top card of your deck: **POWERUP X** where X is the cost of the discarded card.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/117_M_Rock_Lee-1920w.webp
TRUE,KS-117-R,R,Rock Lee,Loopy Fist,5,5,"Team Guy, Taijutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] At the end of the round, you must move this character to another mission, if able.

**UPGRADE** [↯] Reveal and discard the top card of your deck: **POWERUP X** where X is the cost of the discarded card.",Konoha Shidō,https://irp.cdn-website.com/99e556bf/dms3rep/multi/117_R_RockLee_Loopy_Fist.webp
TRUE,KS-117-RART,RA,Rock Lee,"I will make you proud, Sensei.",5,5,"Team Guy, Taijutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] At the end of the round, you must move this character to another mission, if able.

**UPGRADE** [↯] Reveal and discard the top card of your deck: **POWERUP X** where X is the cost of the discarded card.",Konoha Shidō,https://irp.cdn-website.com/99e556bf/dms3rep/multi/117_R_ART_RockLee_Loopy_Fist.webp
TRUE,KS-118-R,R,Tenten,Rising Twin Dragons,4,4,"Team Guy, Jutsu",Leaf Village,AMBUSH,↯ On play,"**AMBUSH** [↯] Defeat a hidden character in this mission. If the defeated character had a printed Power of 3 or less, defeat a hidden character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/118_R_Tenten_Rising_Dragons-1920w.webp
TRUE,KS-118-RART,RA,Tenten,Twin Rising Dragons,4,4,"Team Guy, Jutsu",Leaf Village,AMBUSH,↯ On play,"**AMBUSH** [↯] Defeat a hidden character in this mission. If the defeated character had a printed Power of 3 or less, defeat a hidden character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/118_R_ART_Tenten_Rising_Dragons-1920w.webp
TRUE,KS-119-R,R,Kankuro,Secret Black Move: Iron Maiden,5,5,"Team Baki, Jutsu",Sand Village,"UPGRADE, MAIN",↯ On play,"**UPGRADE** [↯] Move any character in play.

**MAIN** [↯] Defeat an enemy character with Power 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/119_R_Kankuro_Iron_Maiden-1920w.webp
TRUE,KS-119-RART,RA,Kankuro,...We'll have a Puppet Show!,5,5,"Team Baki, Jutsu",Sand Village,"UPGRADE, MAIN",↯ On play,"**UPGRADE** [↯] Move any character in play.

**MAIN** [↯] Defeat an enemy character with Power 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/119_R_ART_Kankuro_Iron_Maiden-1920w.webp
TRUE,KS-120-MV,MV,Gaara,Sand Coffin,4,4,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat up to 1 enemy character with Power 1 or less in every mission.

**UPGRADE** [↯] **POWERUP X**, where X is the number of characters defeated by the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/120_M_Gaara-1920w.webp
TRUE,KS-120-R,R,Gaara,Sand Coffin,4,4,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat up to 1 enemy character with Power 1 or less in every mission.

**UPGRADE** [↯] **POWERUP X**, where X is the number of characters defeated by the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/120_R_Gaara_Sand_Coffin-1920w.webp
TRUE,KS-120-RART,RA,Gaara,Sand Coffin,4,4,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat up to 1 enemy character with Power 1 or less in every mission.

**UPGRADE** [↯] **POWERUP X**, where X is the number of characters defeated by the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/120_R_ART_Gaara_Sand_Coffin-1920w.webp
TRUE,KS-121-R,R,Temari,Wind Scythe Jutsu,5,5,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Move any friendly character in play.

**UPGRADE** [↯] Move any character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/121_R_Temari_Wind_Scythe-1920w.webp
TRUE,KS-121-RART,RA,Temari,It's finished.,5,5,"Team Baki, Jutsu",Sand Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Move any friendly character in play.

**UPGRADE** [↯] Move any character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/121_R_ART_Temari_Wind_Scythe-1920w.webp
TRUE,KS-122-R,R,Jirobo,Slamming Palm,5,6,"Sound Four, Taijutsu",Sound Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] **POWERUP X** where X is the number of characters in this mission.

**UPGRADE** [↯] Defeat an enemy character with Power 1 or less in this mission.",Konoha Shidō,https://irp.cdn-website.com/99e556bf/dms3rep/multi/122_R_Jirobo_Slamming_Palm.webp
